color,name,japanese,english
0x5d8165,アーモンドグリーン,あーもんどぐりーん,almond green
0x1a4472,アイアンブルー JIS,あいあんぶるー,iron blue
0x0f5474,藍色 JIS,あいいろ,
0x5e7c85,藍気鼠,あいけねずみ,
0x475189,藍錆色,あいさびいろ,
0xcce7d3,アイスグリーン,あいすぐりーん,ice green
0x243250,藍鉄色,あいてついろ,
0x5e7c85,藍鼠 JIS,あいねず,
0x5e7c85,藍鼠,あいねずみ,
0x487c38,アイビーグリーン JIS,あいびーぐりーん,ivy green
0xf3ecd8,アイボリー JIS,あいぼりー,ivory
0xf3ecd8,アイボリーホワイト,あいぼりーほわいと,ivory white
0x333132,アイボリーブラック,あいぼりーぶらっく,ivory black
0x5c5d31,藍海松茶,あいみるちゃ,
0x547443,藍利休,あいりきゅう,
0x0067c0,青 JIS,あお,
0x0067c0,蒼,あお,
0x0067c0,藍,あお,
0x0067c0,碧,あお,
0x23274f,青褐,あおかち,
0xf4e511,青黄,あおき,
0x83866c,青白橡,あおしろつるばみ,
0x283446,青墨,あおずみ,
0x72baa7,青竹色 JIS,あおたけいろ,
0x798543,青丹,あおに,
0x52695d,青鈍,あおにび,
0x52695d,青鈍,あおにぶ,
0x00ae95,青緑 JIS,あおみどり,
0x6f51a1,青紫 JIS,あおむらさ,
0xed1a3d,赤 JIS,あか,
0xed1a3d,紅,あか,
0xed1a3d,朱,あか,
0xed1a3d,緋,あか,
0xed1a3d,丹,あか,
0xffc800,赤黄,あかき,
0xdc8551,赤朽葉,あかくちば,
0xfbbd8e,赤香,あかこう,
0x84331f,赤錆色 JIS,あかさびいろ,
0x4c2e30,赤墨,あかずみ,
0xf15a22,赤橙 JIS,あかだいだい,
0xb4533c,赤茶 JIS,あかちゃ,
0xb22d35,茜色 JIS,あかねいろ,
0xf067a6,赤紫 JIS,あかむらさき,
0x88bfbf,アクアグリーン,あくあぐりーん,aqua green
0xafdfe4,アクア,あくあ,aqua
0xafdfe4,アクアブルー,あくあぶるー,aqua blue
0x006f86,アクアマリン,あくあまりん,aquamarine
0x948562,灰汁色,あくいろ,
0xed1a3d,赤,あけ,
0xed1a3d,朱,あけ,
0xed1a3d,緋,あけ,
0xf9aa8f,曙色,あけぼのいろ,
0xffcc33,浅黄,あさき,
0xffcc33,浅黄,あさぎ,
0xffcc33,浅黄色,あさきいろ,
0xffcc33,浅黄色,あさぎいろ,
0x00a4ac,浅葱,あさぎ,
0x00a4ac,浅葱色 JIS,あさぎいろ,
0x67a7cc,浅縹,あさはなだ,
0x67a7cc,浅縹,あさきはなだ,
0xde7c6b,浅緋,あさひ,
0x84c98b,浅緑,あさみどり,
0xcd4187,アザレア,あざれあ,azalea
0xff3399,アザレアピンク,あざれあぴんく,azalea pink
0x98514b,小豆色,あずきいろ,
0x949593,アッシュグレイ JIS,あっしゅぐれい,
0x949593,アッシュグレー,あっしゅぐれー,ash grey
0x96c78c,アップルグリーン JIS,あっぷるぐりーん,apple green
0xa99663,油色,あぶらいろ,
0xfab280,アプリコットJIS,あぷりこっと,apricot
0xe8dabe,亜麻色,あまいろ,
0x65bbe9,天色,あまいろ,
0x65bbe9,天色,あめいろ,
0xe5b36e,飴色,あめいろ,
0x9e76b4,アメシスト,あめしすと,amethyst
0x9e76b4,アメジスト,あめじすと,amethyst
0xc77eb5,菖蒲色 JIS,あやめいろ,
0xfdd2b9,洗柿,あらいがき,
0xe27a5e,洗朱,あらいしゅ,
0xf0f8ff,アリスブルー,ありすぶるー,Alice blue
0x7d415e,暗紅色,あんこうしょく,
0x7d415e,殷紅色,あんこうしょく,
0x00001c,暗黒色,あんこくしょく,
0xfab27b,杏色,あんず,
0xfab27b,杏子色 JIS,あんずいろ,
0x1a4472,アントワープブルー,あんとわーぷぶるー,Antwerp blue
